48,Лянтор,Ханты-Мансийский АО,41 199,40 867,40 317,39 841,40 024,40 135,40 000,39 866,39 455,,38 992
49,Мончегорск,Мурманская область,41 145,41 482,42 099,42 581,42 893,43 213,43 470,44 007,44 643,45 253,45 361
50,Сафоново,Смоленская область,41 138,41 510,42 147,42 707,43 145,43 477,43 845,44 444,45 273,46 100,43 500
51,Кудрово,Ленинградская область,41 102,31 577,,13 501,,,,,,,137
52,Сосновоборск,Красноярский край,41 080,40 614,40 128,39 375,38 415,37 093,35 532,34 499,33 805,33 100,33 091
53,Шебекино,Белгородская область,40 870,41 336,41 934,42 465,42 903,43 331,43 585,43 786,44 012,44 300,44 279
54,Стрежевой,Томская область,40 830,41 230,41 475,41 733,41 956,41 743,41 553,41 688,41 899,42 200,42 219
55,Мыски,Кемеровская область,40 787,40 991,41 379,41 628,41 938,42 309,42 598,42 697,43 038,43 072,43 038
56,Усть-Кут,Иркутская область,40 783,41 149,41 689,42 272,42 498,42 971,43 552,44 301,44 805,45 290,45 375
57,Пугачёв,Саратовская область,40 656,40 927,40 895,41 056,41 286,41 356,41 375,41 355,41 574,41 706,41 707
58,Урай,Ханты-Мансийский АО,40 537,40 292,40 477,40 559,40 477,40 361,39 893,39 579,39 456,39 507,39 457
59,Камень-на-Оби,Алтайский край,40 480,40 647,40 795,41 315,41 787,41 897,42 174,42 813,43 223,43 854,43 888
60,Горячий Ключ,Краснодарский край,40 299,38 972,37 475,36 807,35 805,34 585,33 459,32 404,31 290,30 100,30 126
61,Ялуторовск,Тюменская область,40 273,39 919,39 967,39 837,39 399,38 838,38 327,37 488,37 024,36 565,36 493
62,Тутаев,Ярославская область,39 837,39 883,40 154,40 441,40 404,40 296,40 380,40 563,40 770,41 027,41 005
63,Спасск-Дальний,Приморский край,39 765,40 200,40 717,41 127,41 539,42 020,42 491,43 305,43 605,44 200,44 173
64,Тулун,Иркутская область,39 671,41 279,41 640,41 671,41 987,42 029,42 336,42 961,43 865,44 497,44 611
65,Заинск,Татарстан,39 631,39 938,40 366,40 635,40 878,41 046,41 242,41 303,41 590,41 793,41 803
66,Пыть-Ях,Ханты-Мансийский АО,39 570,39 891,40 294,40 798,40 910,41 005,41 000,40 818,41 125,41 533,41 488
67,Новозыбков,Брянская область,39 510,39 725,40 107,40 476,40 632,40 765,40 773,40 499,40 637,40 579,40 553
68,Апшеронск,Краснодарский край,39 488,39 762,40 016,40 239,40 349,40 244,40 199,40 266,40 287,40 200,40 225
69,Усть-Лабинск,Краснодарский край,39 456,40 180,40 687,41 348,41 729,42 062,42 355,42 842,43 083,43 300,43 270
70,Елизово,Камчатский край,39 345,39 198,39 216,38 771,38 824,38 637,38 643,38 887,38 903,39 600,39 569
71,Белая Калитва,Ростовская область,39 293,39 753,40 275,40 831,41 220,41 734,42 185,42 441,42 923,43 700,43 651
72,Аргун,Чечня,39 275,38 169,37 373,36 486,35 738,34 078,33 207,32 058,30 647,29 500,29 525
73,Большой Камень,Приморский край,39 096,37 918,38 042,38 493,38 718,38 637,39 126,39 447,39 469,,39 257
74,Абинск,Краснодарский край,39 058,38 547,38 176,37 749,37 415,36 986,36 607,35 921,35 449,34 900,34 928
75,Советск,Калининградская область,38 963,39 150,39 752,40 486,40 984,41 212,41 630,41 802,41 941,41 700,41 705
76,Амурск,Хабаровский край,38 913,39 046,39 431,40 106,40 561,40 803,41 074,41 688,42 117,42 936,42 970
77,Саянск,Иркутская область,38 820,38 674,38 968,38 897,38 957,38 887,39 198,39 453,39 895,40 629,40 800
78,Малгобек,Ингушетия,38 649,38 200,37 442,36 870,36 114,35 462,34 385,33 426,32 515,31 241,31 018
79,Баксан,Кабардино-Балкария,38 474,38 361,38 192,38 053,37 782,37 527,37 373,37 163,36 907,36 900,36 860
80,Ртищево,Саратовская область,38 364,38 663,39 005,39 390,39 612,40 043,40 248,40 649,40 961,41 256,41 289
81,Печора,Коми,38 229,38 784,39 400,40 048,40 653,40 910,41 189,41 716,42 296,43 100,43 105
82,Курчатов,Курская область,38 125,38 240,38 344,38 776,38 917,39 395,40 022,40 973,41 812,42 700,42 706
83,Качканар,Свердловская область,38 092,38 441,38 996,39 338,39 737,40 036,40 260,40 606,40 998,41 400,41 426
84,Джанкой,Крым[комм. 1],38 007,38 438,38 669,38 714,38 934,38 676,38 622,36 086,36 458,36 860,37 275
85,Югорск,Ханты-Мансийский АО,37 966,37 422,37 411,37 150,36 734,36 327,35 833,35 294,34 969,34 161,34 067
86,Моршанск,Тамбовская область,37 955,38 230,38 943,39 362,39 842,39 583,40 029,40 412,40 869,41 600,41 556
87,Переславль-Залесский,Ярославская область,37 943,38 255,38 649,39 105,39 464,40 028,40 283,40 930,41 341,41 800,41 925
88,Мариинск,Кемеровская область,37 912,38 209,38 637,39 091,39 332,39 619,39 850,40 092,40 287,40 511,40 526
89,Учалы,Башкортостан,37 898,37 710,37 933,37 715,37 516,37 480,37 681,37 762,37 829,37 800,37 788
90,Изобильный,Ставропольский край,37 841,37 868,38 100,38 263,38 409,38 551,39 022,39 387,40 029,40 527,40 555
91,Алексеевка,Белгородская область,37 811,38 179,38 329,38 447,38 566,38 626,38 876,38 979,38 949,39 000,39 026
92,Кизилюрт,Дагестан,37 752,37 588,37 171,36 570,35 762,34 939,34 162,33 723,33 377,,32 988
93,Красноуфимск,Свердловская область,37 735,38 088,38 395,38 731,38 988,39 252,39 306,39 353,39 551,39 800,39 765
94,Новодвинск,Архангельская область,37 699,38 082,38 434,38 735,38 906,39 222,39 613,39 937,40 288,40 574,40 615
95,Красный Сулин,Ростовская область,37 627,37 787,38 284,38 567,38 948,39 212,39 497,39 859,40 358,40 900,40 866
96,Заволжье,Нижегородская область,37 588,37 758,38 230,38 527,38 906,39 236,39 344,39 536,40 021,40 377,40 460
97,Южноуральск,Челябинская область,37 561,37 541,37 728,37 801,37 716,37 666,37 565,37 676,37 798,37 902,37 877
98,Беслан,Северная Осетия,37 371,37 196,37 029,37 025,37 034,37 063,36 991,37 037,36 864,36 729,36 728
99,Людиново,Калужская область,37 252,37 734,38 267,38 846,38 993,39 239,39 515,39 819,40 137,40 480,40 530
100,Усинск,Коми,37 155,38 038,38 376,38 800,39 025,39 431,39 831,40 021,40 518,,40 827
101,Алапаевск,Свердловская область,37 131,37 219,37 526,37 653,37 739,37 857,37 894,37 952,38 065,38 200,38 192
102,Реж,Свердловская область,36 825,36 843,37 152,37 420,37 553,37 706,37 643,37 662,37 949,38 200,38 215
103,Шарыпово,Красноярский край,36 741,36 789,37 136,37 169,37 258,37 230,37 411,37 842,37 988,38 600,38 561
104,Урюпинск,Волгоградская область,36 704,37 109,37 620,38 267,38 758,39 171,39 548,40 142,40 825,41 600,41 590
105,Мценск,Орловская область,36 627,37 136,37 725,38 350,38 725,39 181,39 783,40 704,41 884,43 200,43 222
